Sentence,Text,Section,Book,Cluster
O ye handmaids of the merciful Lord! How many queens of this world laid down their heads on a pillow of dust and disappeared,"O ye handmaids of the merciful Lord! How many queens of this world laid down their heads on a pillow of dust and disappeared. No fruit was left of them, no trace, no sign, not even their names. For them, no more granting of bestowals; for them, no more living at all. Not so the handmaids who ministered at the Threshold of God; these have shone forth like glittering stars in the skies of ancient glory, shedding their splendors across all the reaches of time. These have fulfilled their dearest hopes in the Abhá Paradise; they have tasted the honey of reunion in the congregation of the Lord. Such souls as these profited from their existence here on earth: they plucked the fruit of life. As for the rest, “There surely came upon them a time when they were a thing not spoken of.”",T8P6,Selections from the Writings of ‘Abdu’l‑Bahá,22
" Among these is a highly esteemed lady of the city of Manchester, who hath been moved to offer her share","One of the wondrous events that has of late come to pass is this, that the edifice of the Mashriqu’l-Adhkár is being raised in the very heart of the American continent, and numerous souls from the surrounding regions are contributing for the erection of this holy Temple. Among these is a highly esteemed lady of the city of Manchester, who hath been moved to offer her share.",T63P4,Selections from the Writings of ‘Abdu’l‑Bahá,22
"Having no portion of goods and earthly riches, she sheared off with her own hands the fine, long and precious tresses that adorned her head so gracefully, and offered them for sale, that the price thereof might promote the cause of the Mashriqu’l-Adhkár","Having no portion of goods and earthly riches, she sheared off with her own hands the fine, long and precious tresses that adorned her head so gracefully, and offered them for sale, that the price thereof might promote the cause of the Mashriqu’l-Adhkár.",T63P5,Selections from the Writings of ‘Abdu’l‑Bahá,22
"Consider ye, that though in the eyes of women nothing is more precious than rich and flowing locks, yet notwithstanding this, that highly honored lady hath evinced so rare and beautiful a spirit of self-sacrifice","Consider ye, that though in the eyes of women nothing is more precious than rich and flowing locks, yet notwithstanding this, that highly honored lady hath evinced so rare and beautiful a spirit of self-sacrifice.",T63P6,Selections from the Writings of ‘Abdu’l‑Bahá,22
" Precious though the hair be in the sight of western women, nay, more precious than life itself, yet she offered it up as a sacrifice for the cause of the Mashriqu’l-Adhkár!","And though this was uncalled for, and ‘Abdu’l‑Bahá would not have consented to such a deed, yet as it doth reveal so high and noble a spirit of devotion, He was deeply touched thereby. Precious though the hair be in the sight of western women, nay, more precious than life itself, yet she offered it up as a sacrifice for the cause of the Mashriqu’l-Adhkár!",T63P7,Selections from the Writings of ‘Abdu’l‑Bahá,22
" But a woman stricken in years, whose sole possession was a handful of dates, came to the Apostle and laid at His feet her humble contribution","It is related that once in the days of the Apostle of God2 He signified His desire that an army should advance in a certain direction, and leave was granted unto the faithful to raise contributions for the holy war. Among many was one man who gave a thousand camels, each laden with corn, another who gave half his substance, and still another who offered all that he had. But a woman stricken in years, whose sole possession was a handful of dates, came to the Apostle and laid at His feet her humble contribution. Thereupon the Prophet of God—may my life be offered up as a sacrifice unto Him—bade that this handful of dates be placed over and above all the contributions that had been gathered, thus asserting the merit and superiority thereof over all the rest. This was done because that elderly woman had no other earthly possessions but these.",T63P8,Selections from the Writings of ‘Abdu’l‑Bahá,22
"And in like manner this esteemed lady had nothing else to contribute but her precious locks, and these she gloriously sacrificed in the cause of the Mashriqu’l-Adhkár","And in like manner this esteemed lady had nothing else to contribute but her precious locks, and these she gloriously sacrificed in the cause of the Mashriqu’l-Adhkár.",T63P9,Selections from the Writings of ‘Abdu’l‑Bahá,22
 My hope is that she may entirely recover; this beloved handmaid of God is like a flame of fire and thinks day and night of nothing save service to God,"Extensive travel in October, to the north, south, east and west, accompanied by that candle of the love of God, Mrs. Maxwell, would be highly acceptable. My hope is that she may entirely recover; this beloved handmaid of God is like a flame of fire and thinks day and night of nothing save service to God. For the present, travel throughout the northern states, and in the winter season hasten to the states in the south. Your service should consist of eloquent speeches delivered in gatherings wherein ye may promulgate the divine teachings. If possible, undertake at some time a voyage to the Hawaiian Islands.",T70P3,Selections from the Writings of ‘Abdu’l‑Bahá,22
" But still try to be patient with thy wife, perchance she may be transformed and her heart may be illumined","Thy wife is not in harmony with thee, but praise be to God, the Blessed Beauty is pleased with thee and is conferring upon thee the utmost bounty and blessings. But still try to be patient with thy wife, perchance she may be transformed and her heart may be illumined. The contribution thou hast made for teaching is highly acceptable and it shall be eternally mentioned in the divine Kingdom for it is the cause of the diffusion of fragrances and the exaltation of the Word of God.",T89P2,Selections from the Writings of ‘Abdu’l‑Bahá,22
"O thou maidservant of God! Every woman who becometh the maidservant of God outshineth in glory the empresses of the world, for she is related to God, and her sovereignty is everlasting, whereas a handful of dust will obliterate the name and fame of those empresses","O thou maidservant of God! Every woman who becometh the maidservant of God outshineth in glory the empresses of the world, for she is related to God, and her sovereignty is everlasting, whereas a handful of dust will obliterate the name and fame of those empresses. In other words, as soon as they go down to the grave they are reduced to naught. The maidservants of God’s Kingdom, on the other hand, enjoy eternal sovereignty unaffected by the passing of ages and generations.",T93P1,Selections from the Writings of ‘Abdu’l‑Bahá,22
