Sentence,Text,Section,Book,Cluster
 Today is the day for steadfastness and constancy,"O ye beloved of the Lord! Beware, beware lest ye hesitate and waver. Let not fear fall upon you, neither be troubled nor dismayed. Take ye good heed lest this calamitous day slacken the flames of your ardor, and quench your tender hopes. Today is the day for steadfastness and constancy. Blessed are they that stand firm and immovable as the rock and brave the storm and stress of this tempestuous hour. They, verily, shall be the recipients of God’s grace; they, verily, shall receive His divine assistance, and shall be truly victorious. They shall shine amidst mankind with a radiance which the dwellers of the Pavilion of Glory laud and magnify. To them is proclaimed this celestial call, revealed in His Most Holy Book: “Let not your hearts be perturbed, O people, when the glory of My Presence is withdrawn, and the ocean of My utterance is stilled. In My presence amongst you there is a wisdom, and in My absence there is yet another, inscrutable to all but God, the Incomparable, the All-Knowing. Verily, We behold you from Our realm of glory, and shall aid whosoever will arise for the triumph of Our Cause with the hosts of the Concourse on high and a company of Our favored angels.”",T5P3,Selections from the Writings of ‘Abdu’l‑Bahá,64
" Erelong wilt thou behold the flush of daybreak spreading from out the Most Exalted Realm, and the morn encompassing all regions","For thy part, rejoice at this best of all glad tidings, and rise up to exalt the Word of God and to spread abroad His sweet savors in all that vast and mighty land. Know thou of a certainty that thy Lord will come to thine aid with a company of the Concourse on high and hosts of the Abhá Kingdom. These will mount the attack, and will furiously assail the forces of the ignorant, the blind. Erelong wilt thou behold the flush of daybreak spreading from out the Most Exalted Realm, and the morn encompassing all regions. It will put the dark to flight, and the gloom of night will fade and pass, and the bright brow of the Faith shine forth, and the Daystar rise and overspread the world. On that day will the faithful rejoice, and the steadfast be blissful; then will the slanderers take themselves off, and the waverers be blotted out, even as deepest shadows fall away at the first light of the breaking dawn.",T19P13,Selections from the Writings of ‘Abdu’l‑Bahá,64
" Wherefore the dispensations of past ages are intimately connected with those that follow them: indeed, they are one and the same, but as the world groweth, so doth the light, so doth the downpour of heavenly grace, and then the Daystar shineth out in noonday splendor","O thou seeker after truth! The world of the Kingdom is one world. The only difference is that spring returneth over and over again, and setteth up a great new commotion throughout all created things. Then plain and hillside come alive, and trees turn delicately green, and leaves, blossoms and fruits come forth in beauty, infinite and tender. Wherefore the dispensations of past ages are intimately connected with those that follow them: indeed, they are one and the same, but as the world groweth, so doth the light, so doth the downpour of heavenly grace, and then the Daystar shineth out in noonday splendor.",T29P3,Selections from the Writings of ‘Abdu’l‑Bahá,64
" Wherefore every day of the cycle of the Blessed Beauty is in reality equal to one year, and every year of it is equal to a thousand years","It is possible, however, that after the completion of a full thousand years, certain Holy Beings will be empowered to deliver a Revelation: this, however, will not be through a Universal Manifestation. Wherefore every day of the cycle of the Blessed Beauty is in reality equal to one year, and every year of it is equal to a thousand years.",T33P4,Selections from the Writings of ‘Abdu’l‑Bahá,64
" It must first complete one full revolution through the other constellations before it will enter the sign of Leo again, to blaze out in its full splendor","Consider, for example, the sun: its transit from one zodiacal sign to the next occurreth within a short period of time, yet only after a long period doth it attain the plenitude of its resplendency, its heat and glory, in the sign of Leo. It must first complete one full revolution through the other constellations before it will enter the sign of Leo again, to blaze out in its full splendor. In its other stations, it revealeth not the fullness of its heat and light.",T33P5,Selections from the Writings of ‘Abdu’l‑Bahá,64
As to the cycle of the Blessed Beauty—the times of the Greatest Name—this is not limited to a thousand or two thousand years,As to the cycle of the Blessed Beauty—the times of the Greatest Name—this is not limited to a thousand or two thousand years.…,T33P7,Selections from the Writings of ‘Abdu’l‑Bahá,64
"When it is said that the period of a thousand years beginneth with the Manifestation of the Blessed Beauty and every day thereof is a thousand years, the intent is a reference to the cycle of the Blessed Beauty, which in this context will extend over many ages into the unborn reaches of time","When it is said that the period of a thousand years beginneth with the Manifestation of the Blessed Beauty and every day thereof is a thousand years, the intent is a reference to the cycle of the Blessed Beauty, which in this context will extend over many ages into the unborn reaches of time.",T33P8,Selections from the Writings of ‘Abdu’l‑Bahá,64
Ye had written of the fasting month,"Ye had written of the fasting month. Fortunate are ye to have obeyed the commandment of God, and kept this fast during the holy season. For this material fast is an outer token of the spiritual fast; it is a symbol of self-restraint, the withholding of oneself from all appetites of the self, taking on the characteristics of the spirit, being carried away by the breathings of heaven and catching fire from the love of God.",T35P2,Selections from the Writings of ‘Abdu’l‑Bahá,64
" God be praised, ye had made ready an entertainment and established the feast which is to be held every nineteen days","O ye true friends! Your letter hath been received and it brought great joy. God be praised, ye had made ready an entertainment and established the feast which is to be held every nineteen days. Whatsoever gathering is arranged with the utmost love, and where those who attend are turning their faces toward the Kingdom of God, and where the discourse is of the Teachings of God, and the effect of which is to cause those present to advance—that gathering is the Lord’s, and that festive table hath come down from heaven.",T47P1,Selections from the Writings of ‘Abdu’l‑Bahá,64
" Thou didst write of the Nineteen Day festivity, and this rejoiced my heart","Thy letter hath been received. Thou didst write of the Nineteen Day festivity, and this rejoiced my heart. These gatherings cause the divine table to descend from heaven, and draw down the confirmations of the All-Merciful. My hope is that the breathings of the Holy Spirit will be wafted over them, and that each one present shall, in great assemblies, with an eloquent tongue and a heart flooded with the love of God, set himself to acclaiming the rise of the Sun of Truth, the dawn of the Daystar that lighteth all the world.",T49P1,Selections from the Writings of ‘Abdu’l‑Bahá,64
