Sentence,Text,Section,Book,Cluster
" This is mercy unalloyed and purest bounty; it is light for the world and all its peoples; it is harmony and fellowship, and love and solidarity; indeed it is compassion and unity, and the end of foreignness; it is the being at one, in complete dignity and freedom, with all on earth","O peoples of the world! The Sun of Truth hath risen to illumine the whole earth, and to spiritualize the community of man. Laudable are the results and the fruits thereof, abundant the holy evidences deriving from this grace. This is mercy unalloyed and purest bounty; it is light for the world and all its peoples; it is harmony and fellowship, and love and solidarity; indeed it is compassion and unity, and the end of foreignness; it is the being at one, in complete dignity and freedom, with all on earth.",T1P1,Selections from the Writings of ‘Abdu’l‑Bahá,88
" We are paupers: show us mercy, give us bounty; look not upon our failings, hide Thou our endless sins","O holy Lord! O Lord of loving-kindness! We stray about Thy dwelling, longing to behold Thy beauty, and loving all Thy ways. We are hapless, lowly, and of small account. We are paupers: show us mercy, give us bounty; look not upon our failings, hide Thou our endless sins. Whatever we are, still are we Thine, and what we speak and hear is praise of Thee, and it is Thy face we seek, Thy path we follow. Thou art the Lord of loving-kindness, we are sinners and astray and far from home. Wherefore, O Cloud of Mercy, grant us some drops of rain. O Flowering Bed of grace, send forth a fragrant breeze. O Sea of all bestowals, roll towards us a great wave. O Sun of Bounty, send down a shaft of light. Grant us pity, grant us grace. By Thy beauty, we come with no provision but our sins, with no good deeds to tell of, only hopes. Unless Thy concealing veil doth cover us, and Thy protection shield and cradle us, what power have these helpless souls to rise and serve Thee, what substance have these wretched ones to make a brave display? Thou Who art the Mighty, the All-Powerful, help us, favor us; withered as we are, revive us with showers from Thy clouds of grace; lowly as we are, illumine us with bright rays from the Daystar of Thy oneness. Cast Thou these thirsty fish into the ocean of Thy mercy, guide Thou this lost caravan to the shelter of Thy singleness; to the wellspring of guidance lead Thou the ones who have wandered far astray, and grant to those who have missed the path a haven within the precincts of Thy might. Lift Thou to these parched lips the bounteous and soft-flowing waters of heaven, raise up these dead to everlasting life. Grant Thou to the blind eyes that will see. Make Thou the deaf to hear, the dumb to speak. Set Thou the dispirited ablaze, make Thou the heedless mindful, warn Thou the proud, awaken those who sleep.",T2P10,Selections from the Writings of ‘Abdu’l‑Bahá,88
" Ye have fed on the honeydew of loyalty from the hands of Him Who is the one alone Beloved, ye have feasted on immortal dishes at the bounteous banquet table of the Lord","As to you, O ye loved ones of God! Loose your tongues and offer Him thanks; praise ye and glorify the Beauty of the Adored One, for ye have drunk from this purest of chalices, and ye are cheered and set aglow with this wine. Ye have detected the sweet scents of holiness, ye have smelled the musk of faithfulness from Joseph’s raiment. Ye have fed on the honeydew of loyalty from the hands of Him Who is the one alone Beloved, ye have feasted on immortal dishes at the bounteous banquet table of the Lord. This plenty is a special favor bestowed by a loving God, these are blessings and rare gifts deriving from His grace. In the Gospel He saith: “For many are called, but few are chosen.”2 That is, to many is it offered, but rare is the soul who is singled out to receive the great bestowal of guidance. “Such is the bounty of God: to whom He will He giveth it, and of immense bounty is God.”3",T2P13,Selections from the Writings of ‘Abdu’l‑Bahá,88
" “Such is the bounty of God: to whom He will He giveth it, and of immense bounty is God","As to you, O ye loved ones of God! Loose your tongues and offer Him thanks; praise ye and glorify the Beauty of the Adored One, for ye have drunk from this purest of chalices, and ye are cheered and set aglow with this wine. Ye have detected the sweet scents of holiness, ye have smelled the musk of faithfulness from Joseph’s raiment. Ye have fed on the honeydew of loyalty from the hands of Him Who is the one alone Beloved, ye have feasted on immortal dishes at the bounteous banquet table of the Lord. This plenty is a special favor bestowed by a loving God, these are blessings and rare gifts deriving from His grace. In the Gospel He saith: “For many are called, but few are chosen.”2 That is, to many is it offered, but rare is the soul who is singled out to receive the great bestowal of guidance. “Such is the bounty of God: to whom He will He giveth it, and of immense bounty is God.”3",T2P13,Selections from the Writings of ‘Abdu’l‑Bahá,88
" Then will all humankind, because of this fresh and dazzling bounty, be gathered in a single homeland","O ye spiritual friends of ‘Abdu’l‑Bahá! A trusted messenger hath arrived and hath, in the world of the spirit, delivered a message from God’s loved ones. This auspicious courier bringeth fragrances of great ardor and wafteth the life-giving breezes of the love of God. He maketh the heart to dance for joy and filleth up the soul with an ecstasy of love and rapture. So intensely hath the glory of Divine Unity penetrated souls and hearts that all are now bound one to another with heavenly ties, and all are even as a single heart, a single soul. Wherefore reflections of the spirit and impressions of the Divine are now mirrored clear and sharp in the deep heart’s core. I beg of God to strengthen these spiritual bonds as day followeth day, and make this mystic oneness to shine ever more brightly, until at last all shall be as troops marshaled together beneath the banner of the Covenant within the sheltering shade of the Word of God; that they may strive with all their might until universal fellowship, close and warm, and unalloyed love, and spiritual relationships, will connect all the hearts in the world. Then will all humankind, because of this fresh and dazzling bounty, be gathered in a single homeland. Then will conflict and dissension vanish from the face of the earth, then will mankind be cradled in love for the beauty of the All-Glorious. Discord will change to accord, dissension to unison. The roots of malevolence will be torn out, the basis of aggression destroyed. The bright rays of union will obliterate the darkness of limitations, and the splendors of heaven will make the human heart to be even as a mine veined richly with the love of God.",T7P1,Selections from the Writings of ‘Abdu’l‑Bahá,88
" This great bounty will dawn over the world at the time when the lovers of God shall arise to carry out His Teachings, and to scatter far and wide the fresh, sweet scents of universal love","Now is the time for the lovers of God to raise high the banners of unity, to intone, in the assemblages of the world, the verses of friendship and love and to demonstrate to all that the grace of God is one. Thus will the tabernacles of holiness be upraised on the summits of the earth, gathering all peoples into the protective shadow of the Word of Oneness. This great bounty will dawn over the world at the time when the lovers of God shall arise to carry out His Teachings, and to scatter far and wide the fresh, sweet scents of universal love.",T7P3,Selections from the Writings of ‘Abdu’l‑Bahá,88
" Erelong will thy Lord’s bounties descend upon thee, one following the other, and He will make of thee a sign for every seeker after truth","Thank thou God for having enabled thee to enter into His Kingdom of might. Erelong will thy Lord’s bounties descend upon thee, one following the other, and He will make of thee a sign for every seeker after truth.",T9P2,Selections from the Writings of ‘Abdu’l‑Bahá,88
" Ye have received a share of the light of truth, ye have enjoyed a portion of those blessings that endure forever; and therefore, as a returning of thanks for this bounty, rest ye not for a moment, sit ye not silent, carry to men’s ears the glad tidings of the Kingdom, spread far and wide the Word of God","Wherefore, O ye beloved of God, offer up thanks that ye have, in the day of the dawning, turned your faces unto the Light of the World and beheld its splendors. Ye have received a share of the light of truth, ye have enjoyed a portion of those blessings that endure forever; and therefore, as a returning of thanks for this bounty, rest ye not for a moment, sit ye not silent, carry to men’s ears the glad tidings of the Kingdom, spread far and wide the Word of God.",T16P4,Selections from the Writings of ‘Abdu’l‑Bahá,88
" These things do I hope for, out of the bounties and the bestowals of the Beloved","These are the counsels of ‘Abdu’l‑Bahá. It is my hope that out of the bestowals of the Lord of Hosts ye will become the spiritual essence and the very radiance of humankind, binding the hearts of all with bonds of love; that through the power of the Word of God ye will bring to life the dead now buried in the graves of their sensual desires; that ye will, with the rays of the Sun of Truth, restore the sight of those whose inner eye is blind; that ye will bring spiritual healing to the spiritually sick. These things do I hope for, out of the bounties and the bestowals of the Beloved.",T17P7,Selections from the Writings of ‘Abdu’l‑Bahá,88
" This is the true sacrifice: the offering of oneself, even as did Christ, as a ransom for the life of the world","As to those souls who are born into this life as ethereal and radiant entities and yet, on account of their handicaps and trials, are deprived of great and real advantages, and leave the world without having lived to the full—certainly this is a cause for grieving. This is the reason why the universal Manifestations of God unveil Their countenances to man, and endure every calamity and sore affliction, and lay down Their lives as a ransom; it is to make these very people, the ready ones, the ones who have capacity, to become dawning points of light, and to bestow upon them the life that fadeth never. This is the true sacrifice: the offering of oneself, even as did Christ, as a ransom for the life of the world.",T31P8,Selections from the Writings of ‘Abdu’l‑Bahá,88
