Sentence,Text,Section,Book,Cluster
" These are the Teachings of the Blessed Beauty, these the counsels of the Most Great Name","In this day, the one favored at the Threshold of the Lord is he who handeth round the cup of faithfulness; who bestoweth, even upon his enemies, the jewel of bounty, and lendeth, even to his fallen oppressor, a helping hand; it is he who will, even to the fiercest of his foes, be a loving friend. These are the Teachings of the Blessed Beauty, these the counsels of the Most Great Name.",T1P4,Selections from the Writings of ‘Abdu’l‑Bahá,10
" In this wondrous age, however, praised be God, the commandments of God are not delimited, not restricted to any one group of people, rather have all the friends been commanded to show forth fellowship and love, consideration and generosity and loving-kindness to every community on earth","In every dispensation, there hath been the commandment of fellowship and love, but it was a commandment limited to the community of those in mutual agreement, not to the dissident foe. In this wondrous age, however, praised be God, the commandments of God are not delimited, not restricted to any one group of people, rather have all the friends been commanded to show forth fellowship and love, consideration and generosity and loving-kindness to every community on earth. Now must the lovers of God arise to carry out these instructions of His: let them be kindly fathers to the children of the human race, and compassionate brothers to the youth, and self-denying offspring to those bent with years. The meaning of this is that ye must show forth tenderness and love to every human being, even to your enemies, and welcome them all with unalloyed friendship, good cheer, and loving-kindness. When ye meet with cruelty and persecution at another’s hands, keep faith with him; when malevolence is directed your way, respond with a friendly heart. To the spears and arrows rained upon you, expose your breasts for a target mirror-bright; and in return for curses, taunts and wounding words, show forth abounding love. Thus will all peoples witness the power of the Most Great Name, and every nation acknowledge the might of the Ancient Beauty, and see how He hath toppled down the walls of discord, and how surely He hath guided all the peoples of the earth to oneness; how He hath lit man’s world, and made this earth of dust to send forth streams of light.",T7P4,Selections from the Writings of ‘Abdu’l‑Bahá,10
" It behooveth thee to be content with the Will of God, and a true and loving and trusted friend to all the peoples of the earth, without any exceptions whatever","Hold thou fast to the Covenant of thy Lord, and as the days go by, increase thy store of love for His beloved ones. Bend thou with tenderness over the servitors of the All-Merciful, that thou mayest hoist the sail of love upon the ark of peace that moveth across the seas of life. Let nothing grieve thee, and be thou angered at none. It behooveth thee to be content with the Will of God, and a true and loving and trusted friend to all the peoples of the earth, without any exceptions whatever. This is the quality of the sincere, the way of the saints, the emblem of those who believe in the unity of God, and the raiment of the people of Bahá.",T9P3,Selections from the Writings of ‘Abdu’l‑Bahá,10
" The divine religions must be the cause of oneness among men, and the means of unity and love; they must promulgate universal peace, free man from every prejudice, bestow joy and gladness, exercise kindness to all men and do away with every difference and distinction","O thou daughter of the Kingdom! Thy letter dated 5 December 1918 was received. It contained the good news that the friends of God and the maidservants of the Merciful have gathered in summer at Green Acre, have been engaged day and night in the commemoration of God, have served the oneness of the world of humanity, have shown love to all religions, have remained aloof from every religious prejudice and have been kind to all people. The divine religions must be the cause of oneness among men, and the means of unity and love; they must promulgate universal peace, free man from every prejudice, bestow joy and gladness, exercise kindness to all men and do away with every difference and distinction. Just as Bahá’u’lláh addressing the world of humanity saith: “O people! Ye are the fruits of one tree and the leaves of one branch.” At most it is this, that some souls are ignorant, they must be educated; some are sick, they must be healed; some are still of tender age, they must be helped to attain maturity, and the utmost kindness must be shown to them. This is the conduct of the people of Bahá.",T13P1,Selections from the Writings of ‘Abdu’l‑Bahá,10
"Happy is the soul that seeketh, in this brilliant era, heavenly teachings, and blessed is the heart which is stirred and attracted by the love of God","Happy is the soul that seeketh, in this brilliant era, heavenly teachings, and blessed is the heart which is stirred and attracted by the love of God.",T18P3,Selections from the Writings of ‘Abdu’l‑Bahá,10
" Wherefore, relate thou the Teachings of the Abhá Beauty to the urgent needs of this present day, and thou wilt see that they provide an instant remedy for the ailing body of the world","O thou seeker after the Kingdom! Every divine Manifestation is the very life of the world, and the skilled physician of each ailing soul. The world of man is sick, and that competent Physician knoweth the cure, arising as He doth with teachings, counsels and admonishments that are the remedy for every pain, the healing balm to every wound. It is certain that the wise physician can diagnose his patient’s needs at any season, and apply the cure. Wherefore, relate thou the Teachings of the Abhá Beauty to the urgent needs of this present day, and thou wilt see that they provide an instant remedy for the ailing body of the world. Indeed, they are the elixir that bringeth eternal health.",T29P4,Selections from the Writings of ‘Abdu’l‑Bahá,10
Every imperfect soul is self-centered and thinketh only of his own good,"Every imperfect soul is self-centered and thinketh only of his own good. But as his thoughts expand a little he will begin to think of the welfare and comfort of his family. If his ideas still more widen, his concern will be the felicity of his fellow citizens; and if still they widen, he will be thinking of the glory of his land and of his race. But when ideas and views reach the utmost degree of expansion and attain the stage of perfection, then will he be interested in the exaltation of humankind. He will then be the well-wisher of all men and the seeker of the weal and prosperity of all lands. This is indicative of perfection.",T34P2,Selections from the Writings of ‘Abdu’l‑Bahá,10
" Whosoever draweth nearer to God, that one is the most favored, whether man or woman","Know thou, O handmaid, that in the sight of Bahá, women are accounted the same as men, and God hath created all humankind in His own image, and after His own likeness. That is, men and women alike are the revealers of His names and attributes, and from the spiritual viewpoint there is no difference between them. Whosoever draweth nearer to God, that one is the most favored, whether man or woman. How many a handmaid, ardent and devoted, hath, within the sheltering shade of Bahá, proved superior to the men, and surpassed the famous of the earth.",T38P3,Selections from the Writings of ‘Abdu’l‑Bahá,10
" The meaning is that they must treat all humankind even as they treat their sympathizers, their fellow-believers, their loved ones and familiar friends","We are striving with heart and soul, resting neither day nor night, seeking not a moment’s ease, to make this world of man the mirror of the unity of God. Then how much more must the beloved of the Lord reflect that unity? And this cherished hope, this yearning wish of ours will be visibly fulfilled only on the day when the true friends of God arise to carry out the Teachings of the Abhá Beauty—may my life be a ransom for His lovers! One amongst His Teachings is this, that love and good faith must so dominate the human heart that men will regard the stranger as a familiar friend, the malefactor as one of their own, the alien even as a loved one, the enemy as a companion dear and close. Who killeth them, him will they call a bestower of life; who turneth away from them, him will they regard as turning towards them; who denieth their message, him will they consider as one acknowledging its truth. The meaning is that they must treat all humankind even as they treat their sympathizers, their fellow-believers, their loved ones and familiar friends.",T41P3,Selections from the Writings of ‘Abdu’l‑Bahá,10
"The prime requisites for them that take counsel together are purity of motive, radiance of spirit, detachment from all else save God, attraction to His Divine Fragrances, humility and lowliness amongst His loved ones, patience and long-suffering in difficulties and servitude to His exalted Threshold","The prime requisites for them that take counsel together are purity of motive, radiance of spirit, detachment from all else save God, attraction to His Divine Fragrances, humility and lowliness amongst His loved ones, patience and long-suffering in difficulties and servitude to His exalted Threshold. Should they be graciously aided to acquire these attributes, victory from the unseen Kingdom of Bahá shall be vouchsafed to them.",T43P1,Selections from the Writings of ‘Abdu’l‑Bahá,10
" This feast is held to foster comradeship and love, to call God to mind and supplicate Him with contrite hearts, and to encourage benevolent pursuits","Thou hast asked as to the Feast in every Bahá’í month. This feast is held to foster comradeship and love, to call God to mind and supplicate Him with contrite hearts, and to encourage benevolent pursuits.",T50P1,Selections from the Writings of ‘Abdu’l‑Bahá,10
One of the greatest of these means is the spirit of true fellowship and loving communion amongst the friends,One of the greatest of these means is the spirit of true fellowship and loving communion amongst the friends. Remember the saying: “Of all pilgrimages the greatest is to relieve the sorrow-laden heart.”,T52P3,Selections from the Writings of ‘Abdu’l‑Bahá,10
" This deed of thine is, however, an eloquent testimony to thy noble spirit of self-sacrifice","O my well-beloved daughter of the Kingdom! The letter thou hadst written to Dr. Esslemont was forwarded by him to the Land of Desire [The Holy Land]. I read it all through with the greatest attention. On the one hand, I was deeply touched, for thou hadst sheared off those fair tresses of thine with the shears of detachment from this world and of self-sacrifice in the path of the Kingdom of God. And on the other, I was greatly pleased, for that dearly beloved daughter hath evinced so great a spirit of self-sacrifice as to offer up so precious a part of her body in the pathway of the Cause of God. Hadst thou sought my opinion, I would in no wise have consented that thou shouldst shear off even a single thread of thy comely and wavy locks; nay, I myself would have contributed in thy name for the Mashriqu’l-Adhkár. This deed of thine is, however, an eloquent testimony to thy noble spirit of self-sacrifice. Thou hast, verily, sacrificed thy life and great will be the spiritual results thou shalt obtain. Rest thou confident that day by day thou shalt progress and wax greater in firmness and in constancy. The bounties of Bahá’u’lláh shall compass thee about and the joyful tidings from on high shall time and again be imparted unto thee. And though it be thine hair that thou hast sacrificed, yet thou shalt be filled with the Spirit, and though it be this perishable member of thy body which thou hast laid down in the path of God, yet thou shalt find the Divine Gift, shalt behold the Celestial Beauty, obtain imperishable glory and attain unto everlasting life.",T62P1,Selections from the Writings of ‘Abdu’l‑Bahá,10
" Its contents imparted spiritual gladness, for they were pervaded by spiritual sentiments and indicated the attraction of thy heart, attachment to the Kingdom of God and love for His divine teachings","O thou ignited candle! Thy letter was received. Its contents imparted spiritual gladness, for they were pervaded by spiritual sentiments and indicated the attraction of thy heart, attachment to the Kingdom of God and love for His divine teachings.",T70P1,Selections from the Writings of ‘Abdu’l‑Bahá,10
"
The sixth is righteousness and justice,
The seventh, the betterment of morals and heavenly education,
The eighth, the equality of the two sexes,
The ninth, the diffusion of knowledge and education,
The tenth, economic questions,
and so on and so forth","The events which have transpired were all recorded fifty years ago in the Tablets of Bahá’u’lláh—Tablets which have been printed, published and spread throughout the world. The teachings of Bahá’u’lláh are the light of this age and the spirit of this century. Expound each of them at every gathering.
The first is investigation of truth,
The second, the oneness of mankind,
The third, universal peace,
The fourth, conformity between science and divine revelation,
The fifth, abandonment of racial, religious, worldly and political prejudices, prejudices which destroy the foundation of mankind.
The sixth is righteousness and justice,
The seventh, the betterment of morals and heavenly education,
The eighth, the equality of the two sexes,
The ninth, the diffusion of knowledge and education,
The tenth, economic questions,
and so on and so forth. Strive that souls may attain unto the light of guidance and hold fast unto the hem of Bahá’u’lláh.",T70P4,Selections from the Writings of ‘Abdu’l‑Bahá,10
"Man reacheth perfection through good deeds, voluntarily performed, not through good deeds the doing of which was forced upon him","Man reacheth perfection through good deeds, voluntarily performed, not through good deeds the doing of which was forced upon him. And sharing is a personally chosen righteous act: that is, the rich should extend assistance to the poor, they should expend their substance for the poor, but of their own free will, and not because the poor have gained this end by force. For the harvest of force is turmoil and the ruin of the social order. On the other hand voluntary sharing, the freely chosen expending of one’s substance, leadeth to society’s comfort and peace. It lighteth up the world; it bestoweth honor upon humankind.",T79P3,Selections from the Writings of ‘Abdu’l‑Bahá,10
"As to thy respected husband: it is incumbent upon thee to treat him with great kindness, to consider his wishes and be conciliatory with him at all times, till he seeth that because thou hast directed thyself toward the Kingdom of God, thy tenderness for him and thy love for God have but increased, as well as thy concern for his wishes under all conditions","As to thy respected husband: it is incumbent upon thee to treat him with great kindness, to consider his wishes and be conciliatory with him at all times, till he seeth that because thou hast directed thyself toward the Kingdom of God, thy tenderness for him and thy love for God have but increased, as well as thy concern for his wishes under all conditions.",T91P2,Selections from the Writings of ‘Abdu’l‑Bahá,10
 Thus shall these tender infants be nurtured at the breast of the knowledge of God and His love,"O handmaids of the Lord! The spiritual assemblage that ye established in that illumined city is most propitious. Ye have made great strides; ye have surpassed the others, have arisen to serve the Holy Threshold, and have won heavenly bestowals. Now with all spiritual zeal must ye gather in that enlightened assemblage and recite the Holy Writings and engage in remembering the Lord. Set ye forth His arguments and proofs. Work ye for the guidance of the women in that land, teach the young girls and the children, so that the mothers may educate their little ones from their earliest days, thoroughly train them, rear them to have a goodly character and good morals, guide them to all the virtues of humankind, prevent the development of any behavior that would be worthy of blame, and foster them in the embrace of Bahá’í education. Thus shall these tender infants be nurtured at the breast of the knowledge of God and His love. Thus shall they grow and flourish, and be taught righteousness and the dignity of humankind, resolution and the will to strive and to endure. Thus shall they learn perseverance in all things, the will to advance, high-mindedness and high resolve, chastity and purity of life. Thus shall they be enabled to carry to a successful conclusion whatsoever they undertake.",T95P1,Selections from the Writings of ‘Abdu’l‑Bahá,10
" From his infancy, the child must be nursed at the breast of God’s love, and nurtured in the embrace of His knowledge, that he may radiate light, grow in spirituality, be filled with wisdom and learning, and take on the characteristics of the angelic host","Every child is potentially the light of the world—and at the same time its darkness; wherefore must the question of education be accounted as of primary importance. From his infancy, the child must be nursed at the breast of God’s love, and nurtured in the embrace of His knowledge, that he may radiate light, grow in spirituality, be filled with wisdom and learning, and take on the characteristics of the angelic host.",T103P5,Selections from the Writings of ‘Abdu’l‑Bahá,10
" But in a divine civilization, the individual is so conditioned that with no fear of punishment, he shunneth the perpetration of crimes, seeth the crime itself as the severest of torments, and with alacrity and joy, setteth himself to acquiring the virtues of humankind, to furthering human progress, and to spreading light across the world","See then how wide is the difference between material civilization and divine. With force and punishments, material civilization seeketh to restrain the people from mischief, from inflicting harm on society and committing crimes. But in a divine civilization, the individual is so conditioned that with no fear of punishment, he shunneth the perpetration of crimes, seeth the crime itself as the severest of torments, and with alacrity and joy, setteth himself to acquiring the virtues of humankind, to furthering human progress, and to spreading light across the world.",T105P3,Selections from the Writings of ‘Abdu’l‑Bahá,10
" It is incumbent upon every father and mother to counsel their children over a long period, and guide them unto those things which lead to everlasting honor","Ye should consider the question of goodly character as of the first importance. It is incumbent upon every father and mother to counsel their children over a long period, and guide them unto those things which lead to everlasting honor.",T108P1,Selections from the Writings of ‘Abdu’l‑Bahá,10
"Know that this matter of instruction, of character rectification and refinement, of heartening and encouraging the child, is of the utmost importance, for such are basic principles of God","Know that this matter of instruction, of character rectification and refinement, of heartening and encouraging the child, is of the utmost importance, for such are basic principles of God.",T111P5,Selections from the Writings of ‘Abdu’l‑Bahá,10
