Sentence,Text,Section,Book,Cluster
 This power is none other than the breathings of the Holy Spirit and the mighty inflow of the Word of God,"And this is clear: a power above and beyond the powers of nature must needs be brought to bear, to change this black darkness into light, and these hatreds and resentments, grudges and spites, these endless wrangles and wars, into fellowship and love amongst all the peoples of the earth. This power is none other than the breathings of the Holy Spirit and the mighty inflow of the Word of God.",T23P8,Selections from the Writings of ‘Abdu’l‑Bahá,28
" They are the spirit of life, the ark of salvation, the magnet to draw down eternal glory, the dynamic power to motivate the inner self of man","Direct thine attention to the holy Tablets; read thou the Ishráqát, Tajallíyyát, the Words of Paradise, the Glad Tidings, the Ṭarázát, the Most Holy Book. Then wilt thou see that today these heavenly Teachings are the remedy for a sick and suffering world, and a healing balm for the sores on the body of mankind. They are the spirit of life, the ark of salvation, the magnet to draw down eternal glory, the dynamic power to motivate the inner self of man.",T29P11,Selections from the Writings of ‘Abdu’l‑Bahá,28
" For this material fast is an outer token of the spiritual fast; it is a symbol of self-restraint, the withholding of oneself from all appetites of the self, taking on the characteristics of the spirit, being carried away by the breathings of heaven and catching fire from the love of God","Ye had written of the fasting month. Fortunate are ye to have obeyed the commandment of God, and kept this fast during the holy season. For this material fast is an outer token of the spiritual fast; it is a symbol of self-restraint, the withholding of oneself from all appetites of the self, taking on the characteristics of the spirit, being carried away by the breathings of heaven and catching fire from the love of God.",T35P2,Selections from the Writings of ‘Abdu’l‑Bahá,28
 From them the spirit of life streameth in every direction,"As to you, O ye other handmaids who are enamored of the heavenly fragrances, arrange ye holy gatherings, and found ye Spiritual Assemblies, for these are the basis for spreading the sweet savors of God, exalting His Word, uplifting the lamp of His grace, promulgating His religion and promoting His Teachings, and what bounty is there greater than this? These Spiritual Assemblies are aided by the Spirit of God. Their defender is ‘Abdu’l‑Bahá. Over them He spreadeth His wings. What bounty is there greater than this? These Spiritual Assemblies are shining lamps and heavenly gardens, from which the fragrances of holiness are diffused over all regions, and the lights of knowledge are shed abroad over all created things. From them the spirit of life streameth in every direction. They, indeed, are the potent sources of the progress of man, at all times and under all conditions. What bounty is there greater than this?",T38P5,Selections from the Writings of ‘Abdu’l‑Bahá,28
"… Should they endeavor to fulfill these conditions the Grace of the Holy Spirit shall be vouchsafed unto them, and that assembly shall become the center of the Divine blessings, the hosts of Divine confirmation shall come to their aid, and they shall day by day receive a new effusion of Spirit","The first condition is absolute love and harmony amongst the members of the assembly. They must be wholly free from estrangement and must manifest in themselves the Unity of God, for they are the waves of one sea, the drops of one river, the stars of one heaven, the rays of one sun, the trees of one orchard, the flowers of one garden. Should harmony of thought and absolute unity be nonexistent, that gathering shall be dispersed and that assembly be brought to naught. The second condition is that the members of the assembly should unitedly elect a chairman and lay down guidelines and bylaws for their meetings and discussions. The chairman should have charge of such rules and regulations and protect and enforce them; the other members should be submissive, and refrain from conversing on superfluous and extraneous matters. They must, when coming together, turn their faces to the Kingdom on high and ask aid from the Realm of Glory. They must then proceed with the utmost devotion, courtesy, dignity, care and moderation to express their views. They must in every matter search out the truth and not insist upon their own opinion, for stubbornness and persistence in one’s views will lead ultimately to discord and wrangling and the truth will remain hidden. The honored members must with all freedom express their own thoughts, and it is in no wise permissible for one to belittle the thought of another, nay, he must with moderation set forth the truth, and should differences of opinion arise a majority of voices must prevail, and all must obey and submit to the majority. It is again not permitted that any one of the honored members object to or censure, whether in or out of the meeting, any decision arrived at previously, though that decision be not right, for such criticism would prevent any decision from being enforced. In short, whatsoever thing is arranged in harmony and with love and purity of motive, its result is light, and should the least trace of estrangement prevail the result shall be darkness upon darkness.… If this be so regarded, that assembly shall be of God, but otherwise it shall lead to coolness and alienation that proceed from the Evil One.… Should they endeavor to fulfill these conditions the Grace of the Holy Spirit shall be vouchsafed unto them, and that assembly shall become the center of the Divine blessings, the hosts of Divine confirmation shall come to their aid, and they shall day by day receive a new effusion of Spirit.",T45P1,Selections from the Writings of ‘Abdu’l‑Bahá,28
"The primary intent is to kindle these stirrings of the spirit, but at the same time it follows quite naturally that those present should partake of food, so that the world of the body may mirror the spirit’s world, and flesh take on the qualities of soul; and just as the spiritual delights are here in profusion, so too the material delights","The primary intent is to kindle these stirrings of the spirit, but at the same time it follows quite naturally that those present should partake of food, so that the world of the body may mirror the spirit’s world, and flesh take on the qualities of soul; and just as the spiritual delights are here in profusion, so too the material delights.",T48P2,Selections from the Writings of ‘Abdu’l‑Bahá,28
" When man’s soul is rarified and cleansed, spiritual links are established, and from these bonds sensations felt by the heart are produced","The letter thou hast enclosed was perused. When man’s soul is rarified and cleansed, spiritual links are established, and from these bonds sensations felt by the heart are produced. The human heart resembleth a mirror. When this is purified human hearts are attuned and reflect one another, and thus spiritual emotions are generated. This is like the world of dreams when man is detached from things which are tangible and experienceth those of the spirit. What amazing laws operate, and what remarkable discoveries are made! And it may even be that detailed communications are registered…",T70P5,Selections from the Writings of ‘Abdu’l‑Bahá,28
" When this is purified human hearts are attuned and reflect one another, and thus spiritual emotions are generated","The letter thou hast enclosed was perused. When man’s soul is rarified and cleansed, spiritual links are established, and from these bonds sensations felt by the heart are produced. The human heart resembleth a mirror. When this is purified human hearts are attuned and reflect one another, and thus spiritual emotions are generated. This is like the world of dreams when man is detached from things which are tangible and experienceth those of the spirit. What amazing laws operate, and what remarkable discoveries are made! And it may even be that detailed communications are registered…",T70P5,Selections from the Writings of ‘Abdu’l‑Bahá,28
 This is like the world of dreams when man is detached from things which are tangible and experienceth those of the spirit,"The letter thou hast enclosed was perused. When man’s soul is rarified and cleansed, spiritual links are established, and from these bonds sensations felt by the heart are produced. The human heart resembleth a mirror. When this is purified human hearts are attuned and reflect one another, and thus spiritual emotions are generated. This is like the world of dreams when man is detached from things which are tangible and experienceth those of the spirit. What amazing laws operate, and what remarkable discoveries are made! And it may even be that detailed communications are registered…",T70P5,Selections from the Writings of ‘Abdu’l‑Bahá,28
"Our meaning is that qualities of the spirit are the basic and divine foundation, and adorn the true essence of man; and knowledge is the cause of human progress","Our meaning is that qualities of the spirit are the basic and divine foundation, and adorn the true essence of man; and knowledge is the cause of human progress. The beloved of God must attach great importance to this matter, and carry it forward with enthusiasm and zeal.",T111P8,Selections from the Writings of ‘Abdu’l‑Bahá,28
