Sentence,Text,Section,Book,Cluster
" And for everyone it is now easy to travel to any land, to associate and exchange views with its peoples, and to become familiar, through publications, with the conditions, the religious beliefs and the thoughts of all men","O honored lady! In cycles gone by, though harmony was established, yet, owing to the absence of means, the unity of all mankind could not have been achieved. Continents remained widely divided, nay even among the peoples of one and the same continent association and interchange of thought were wellnigh impossible. Consequently intercourse, understanding and unity amongst all the peoples and kindreds of the earth were unattainable. In this day, however, means of communication have multiplied, and the five continents of the earth have virtually merged into one. And for everyone it is now easy to travel to any land, to associate and exchange views with its peoples, and to become familiar, through publications, with the conditions, the religious beliefs and the thoughts of all men. In like manner all the members of the human family, whether peoples or governments, cities or villages, have become increasingly interdependent. For none is self-sufficiency any longer possible, inasmuch as political ties unite all peoples and nations, and the bonds of trade and industry, of agriculture and education, are being strengthened every day. Hence the unity of all mankind can in this day be achieved. Verily this is none other but one of the wonders of this wondrous age, this glorious century. Of this past ages have been deprived, for this century—the century of light—hath been endowed with unique and unprecedented glory, power and illumination. Hence the miraculous unfolding of a fresh marvel every day. Eventually it will be seen how bright its candles will burn in the assemblage of man.",T15P6,Selections from the Writings of ‘Abdu’l‑Bahá,11
" Verily this is none other but one of the wonders of this wondrous age, this glorious century","O honored lady! In cycles gone by, though harmony was established, yet, owing to the absence of means, the unity of all mankind could not have been achieved. Continents remained widely divided, nay even among the peoples of one and the same continent association and interchange of thought were wellnigh impossible. Consequently intercourse, understanding and unity amongst all the peoples and kindreds of the earth were unattainable. In this day, however, means of communication have multiplied, and the five continents of the earth have virtually merged into one. And for everyone it is now easy to travel to any land, to associate and exchange views with its peoples, and to become familiar, through publications, with the conditions, the religious beliefs and the thoughts of all men. In like manner all the members of the human family, whether peoples or governments, cities or villages, have become increasingly interdependent. For none is self-sufficiency any longer possible, inasmuch as political ties unite all peoples and nations, and the bonds of trade and industry, of agriculture and education, are being strengthened every day. Hence the unity of all mankind can in this day be achieved. Verily this is none other but one of the wonders of this wondrous age, this glorious century. Of this past ages have been deprived, for this century—the century of light—hath been endowed with unique and unprecedented glory, power and illumination. Hence the miraculous unfolding of a fresh marvel every day. Eventually it will be seen how bright its candles will burn in the assemblage of man.",T15P6,Selections from the Writings of ‘Abdu’l‑Bahá,11
" The thoughts have changed, the ways of life have been revised, the sciences and arts show a new vigor, discoveries and inventions are new, perceptions are new","Note thou carefully that in this world of being, all things must ever be made new. Look at the material world about thee, see how it hath now been renewed. The thoughts have changed, the ways of life have been revised, the sciences and arts show a new vigor, discoveries and inventions are new, perceptions are new. How then could such a vital power as religion—the guarantor of mankind’s great advances, the very means of attaining everlasting life, the fosterer of infinite excellence, the light of both worlds—not be made new? This would be incompatible with the grace and loving-kindness of the Lord.",T23P5,Selections from the Writings of ‘Abdu’l‑Bahá,11
" It bestoweth on each one, for a heritage, immortal life","The essence of Bahá’u’lláh’s Teaching is all-embracing love, for love includeth every excellence of humankind. It causeth every soul to go forward. It bestoweth on each one, for a heritage, immortal life. Erelong shalt thou bear witness that His celestial Teachings, the very glory of reality itself, shall light up the skies of the world.",T31P15,Selections from the Writings of ‘Abdu’l‑Bahá,11
" They, indeed, are the potent sources of the progress of man, at all times and under all conditions","As to you, O ye other handmaids who are enamored of the heavenly fragrances, arrange ye holy gatherings, and found ye Spiritual Assemblies, for these are the basis for spreading the sweet savors of God, exalting His Word, uplifting the lamp of His grace, promulgating His religion and promoting His Teachings, and what bounty is there greater than this? These Spiritual Assemblies are aided by the Spirit of God. Their defender is ‘Abdu’l‑Bahá. Over them He spreadeth His wings. What bounty is there greater than this? These Spiritual Assemblies are shining lamps and heavenly gardens, from which the fragrances of holiness are diffused over all regions, and the lights of knowledge are shed abroad over all created things. From them the spirit of life streameth in every direction. They, indeed, are the potent sources of the progress of man, at all times and under all conditions. What bounty is there greater than this?",T38P5,Selections from the Writings of ‘Abdu’l‑Bahá,11
"See how, in this day, the scope of sciences and arts hath widened out, and what wondrous technical advances have been made, and to what a high degree the mind’s powers have increased, and what stupendous inventions have appeared","See how, in this day, the scope of sciences and arts hath widened out, and what wondrous technical advances have been made, and to what a high degree the mind’s powers have increased, and what stupendous inventions have appeared.",T73P5,Selections from the Writings of ‘Abdu’l‑Bahá,11
 See how powerful is the influence exerted by the Daystar of the world upon the inner essence of all created things!,"This age is indeed as a hundred other ages: should ye gather the yield of a hundred ages, and set that against the accumulated product of our times, the yield of this one era will prove greater than that of a hundred gone before. Take ye, for an example, the sum total of all the books that were ever written in ages past, and compare that with the books and treatises that our era hath produced: these books, written in our day alone, far and away exceed the total number of volumes that have been written down the ages. See how powerful is the influence exerted by the Daystar of the world upon the inner essence of all created things!",T73P6,Selections from the Writings of ‘Abdu’l‑Bahá,11
 In this illumined age that which is confirmed is the oneness of the world of humanity,"O thou revered maidservant of God! Thy letter from Los Angeles was received. Thank divine Providence that thou hast been assisted in service and hast been the cause of the promulgation of the oneness of the world of humanity, so that the darkness of differences among men may be dissipated, and the pavilion of the unity of nations may cast its shadow over all regions. Without such unity, rest and comfort, peace and universal reconciliation are unachievable. This illumined century needeth and calleth for its fulfillment. In every century a particular and central theme is, in accordance with the requirements of that century, confirmed by God. In this illumined age that which is confirmed is the oneness of the world of humanity. Every soul who serveth this oneness will undoubtedly be assisted and confirmed.",T77P1,Selections from the Writings of ‘Abdu’l‑Bahá,11
" Be ye in that land vanguards of the perfections of humankind; carry forward the various branches of knowledge, be active and progressive in the field of inventions and the arts","Wherefore, O loved ones of God! Make ye a mighty effort till you yourselves betoken this advancement and all these confirmations, and become focal centers of God’s blessings, daysprings of the light of His unity, promoters of the gifts and graces of civilized life. Be ye in that land vanguards of the perfections of humankind; carry forward the various branches of knowledge, be active and progressive in the field of inventions and the arts. Endeavor to rectify the conduct of men, and seek to excel the whole world in moral character. While the children are yet in their infancy feed them from the breast of heavenly grace, foster them in the cradle of all excellence, rear them in the embrace of bounty. Give them the advantage of every useful kind of knowledge. Let them share in every new and rare and wondrous craft and art. Bring them up to work and strive, and accustom them to hardship. Teach them to dedicate their lives to matters of great import, and inspire them to undertake studies that will benefit mankind.",T102P3,Selections from the Writings of ‘Abdu’l‑Bahá,11
See then how wide is the difference between material civilization and divine,"See then how wide is the difference between material civilization and divine. With force and punishments, material civilization seeketh to restrain the people from mischief, from inflicting harm on society and committing crimes. But in a divine civilization, the individual is so conditioned that with no fear of punishment, he shunneth the perpetration of crimes, seeth the crime itself as the severest of torments, and with alacrity and joy, setteth himself to acquiring the virtues of humankind, to furthering human progress, and to spreading light across the world.",T105P3,Selections from the Writings of ‘Abdu’l‑Bahá,11
